age_ma,diversity
409.1,1
402.25,1
394.65,1
388.55,1
379.9,1
366.85,1
352.25,1
336.8,1
323.2,3
314.9,38
309.45,72
305.3,75
301.2,52
296.8,49
289.5,70
280,89
273.1,110
269.3,107
266.9,84
263.1,69
257.1,69
252.4,83
250.25,70
247.7,67
241.45,100
232.85,104
222.6,172
210.05,115
201.6,112
198.05,117
193.05,148
186.3,136
179.3,181
173.6,177
169.65,172
166.2,173
162.95,211
158.4,276
153.2,238
148.15,272
142.85,270
137.05,306
131.95,311
127.5,395
118.5,417
105.8,425
96.6,406
91.1,416
87.2,399
84.65,413
77.05,428
68.05,414
63.3,415
59.9,415
57.25,432
52.2,493
44.5,482
38.8,481
35.55,633
31.15,623
25.715,626
21.73,649
18.2,684
14.895,689
12.714,689
9.427,689
6.289,689
4.466,689
3.094,690
2.197,691
1.2935,691
0.4535,691
0.06885,694
0.00585,694
