bin_no,bin_name,midpt_ma,SQS_rich
49,Cenozoic 6,5.8,40.4
48,Cenozoic 5,17.3,77.4
47,Cenozoic 4,28.5,59.8
46,Cenozoic 3,37.1,130.8
45,Cenozoic 2,48.1,70.6
44,Cenozoic 1,60.9,37.6
43,Cretaceous 8,68.3,NA
42,Cretaceous 7,77.8,34.3
41,Cretaceous 6,89.6,97.4
40,Cretaceous 5,97,114.9
39,Cretaceous 4,106.2,57.8
38,Cretaceous 3,119,125.1
37,Cretaceous 2,130.9,127
36,Cretaceous 1,140.9,55.8
35,Jurassic 6,148.2,55.2
34,Jurassic 5,157.8,83.1
33,Jurassic 4,168.1,48.2
32,Jurassic 3,177.3,34.8
31,Jurassic 2,186.3,31.4
30,Jurassic 1,195.6,49.5
29,Triassic 4,211.6,48
28,Triassic 3,228.2,41.5
27,Triassic 2,241.1,62.5
26,Triassic 1,249.8,NA
25,Permian 4,255.7,40.8
24,Permian 3,265.8,30.5
23,Permian 2,281.3,43.2
22,Permian 1,294.5,23.6
21,Carboniferous 5,302.9,27.5
20,Carboniferous 4,312.5,34
19,Carboniferous 3,327.1,NA
